"id","status","donor_id","receiver_id","collected_at","created_at","updated_at","has_invoice_photo"
"f7b0e207-63b6-4306-8178-5263cac1ee78","open","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-07-10T19:00:00Z","2025-07-11T14:40:06.602403Z","2025-07-11T14:40:27.61935Z","false"
"7d9b7a62-0caf-41f0-8bb7-2a6df21ca19c","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-13T19:30:00Z","2025-05-13T21:16:20.549205Z","2025-05-13T21:27:02.099082Z","true"
"91464f22-42db-4d45-8533-2cb640b7f4c4","canceled","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-04T03:00:00Z","2025-06-05T20:52:27.540628Z","2025-06-05T20:52:55.458938Z","false"
"a9bd191a-3131-4aca-87da-b80b1bc26c3c","canceled","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-14T03:00:00Z","2025-05-14T21:01:12.148568Z","2025-05-14T21:01:37.97268Z","false"
"e1d934e9-ac0f-4748-8175-b7b9862b7d07","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-18T18:00:00Z","2025-06-18T19:32:56.808019Z","2025-06-18T20:39:28.139193Z","true"
"2d8ca30a-126a-4be3-9c04-b0ede82099ee","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-17T20:00:00Z","2025-06-18T19:42:33.023156Z","2025-06-18T20:09:24.694167Z","true"
"9cc7498d-da95-465c-8293-b39c33266cfd","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-16T19:30:00Z","2025-05-16T21:10:51.48521Z","2025-05-16T21:22:14.786088Z","true"
"a25f9f27-582d-4885-95ea-7f8e8baea37b","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-19T20:30:00Z","2025-05-20T14:52:33.900747Z","2025-05-20T14:57:06.20468Z","true"
"f1c1a30d-0bbd-4a5e-a2de-e9c973a42356","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-23T19:30:00Z","2025-05-26T22:31:13.637353Z","2025-05-26T23:29:07.150343Z","true"
"a55fff22-8f66-4889-8998-5a0b1d55b1a3","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-20T20:00:00Z","2025-05-20T20:36:06.219728Z","2025-05-20T20:42:10.291699Z","true"
"5a0f9126-cd30-4d10-a289-b28adec18ca6","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-26T20:30:00Z","2025-05-27T21:11:42.545211Z","2025-05-27T21:31:48.083387Z","true"
"c2943b83-0194-4743-9f1c-599cb3b35a57","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-27T18:00:00Z","2025-05-27T21:59:08.512403Z","2025-05-27T22:06:35.308876Z","true"
"61f44a6c-212f-4e63-9b1b-e0fcfd553442","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-10T19:00:00Z","2025-06-12T02:10:40.8862Z","2025-06-12T11:35:44.110094Z","true"
"4bef7b56-2071-4cf3-a2d6-9d9279540540","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-29T20:00:00Z","2025-05-30T00:00:54.542968Z","2025-05-30T00:07:33.476368Z","true"
"ce914df8-6496-43bf-9604-c66185c2b3a1","open","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-12T18:00:00Z","2025-06-12T17:26:38.424356Z","2025-06-12T17:28:50.37372Z","true"
"79551b58-fe62-4b83-ae5d-ae59817e49bd","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-05-28T19:00:00Z","2025-05-29T00:31:08.435071Z","2025-05-29T00:42:36.761007Z","true"
"9e833645-3d47-4099-b406-def17f24806c","open","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-12T18:00:00Z","2025-06-12T19:20:56.736716Z","2025-06-12T19:22:59.115101Z","false"
"b36c2a6c-70ac-419d-9190-8724dbd7ffe0","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-11T19:30:00Z","2025-06-13T01:25:34.736864Z","2025-06-13T01:31:39.896926Z","true"
"6598075c-5495-41ab-956a-6d9909e50aa2","canceled","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-09T03:00:00Z","2025-06-13T17:16:43.586792Z","2025-06-13T17:17:07.920969Z","false"
"c72101fd-1af4-4653-92d6-8af44f92ca67","closed","4df6b828-3159-4095-801f-67ab5f896fc3","b3d05649-9d1f-4d9c-a652-a4b335fd053a","2025-06-25T17:50:00Z","2025-06-25T18:15:48.778811Z","2025-06-25T19:09:12.594823Z","true"
