note,start_time,end_time,status_id,created_at,updated_at,donor_id
nota 8.029 e 8.030,2025-05-15 14:30:00,2025-05-15 16:30:00,4,2025-05-15 15:30:00,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
"sam´s tamboré =  02 notas
8.008 e 8009",2025-05-13 14:30:00,2025-05-13 16:30:00,4,2025-05-13 14:30:00,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas : 9.256 - 9.257 e 9.258,2025-10-10 17:30:32.389,2025-10-10 19:00:32.389,4,2025-10-10 17:15:33.349716,2025-10-10 17:15:33.349716,7c2166f9-688b-40c6-8f2f-55113a223be4
notas : 8.149 e 8.150,2025-06-03 17:30:47.764,2025-06-03 19:30:47.764,4,2025-06-03 17:16:50.12397,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
"notas:
8.155 e 8.156",2025-06-05 17:00:34.097,2025-06-05 19:00:34.097,4,2025-06-05 11:18:37.064529,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
nota = 8.171,2025-06-06 17:00:49.562,2025-06-06 19:00:49.562,4,2025-06-06 15:38:51.943819,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas: 8.561 e 8.562,2025-07-22 17:15:30.887,2025-07-22 19:00:30.887,4,2025-07-22 17:05:39.873203,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-06-09 18:00:45.585,2025-06-09 19:30:45.585,4,2025-06-09 17:15:48.239144,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
,2025-10-11 16:00:28.451,2025-10-11 19:30:28.451,4,2025-10-11 15:41:29.543413,2025-10-11 15:41:29.543413,7c2166f9-688b-40c6-8f2f-55113a223be4
NOTA 8.208,2025-06-09 18:45:43.259,2025-06-09 19:30:43.259,4,2025-06-09 18:36:45.843302,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas 8.222 e 8.223,2025-06-10 18:45:15.667,2025-06-10 20:00:15.667,4,2025-06-10 18:42:18.223368,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas 8.226 e 8.228,2025-06-11 18:30:03.391,2025-06-11 19:30:03.391,4,2025-06-11 18:30:05.225127,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas = 8.239 E 8.240,2025-06-12 18:30:41.812,2025-06-12 20:00:41.812,4,2025-06-12 18:24:44.292535,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
notas = 8.251 e 8.252,2025-06-13 17:30:11.478,2025-06-13 19:00:11.478,4,2025-06-13 15:18:13.917482,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
"nota = 8.133 ",2025-05-30 17:00:18.861,2025-05-30 19:00:18.861,4,2025-05-30 15:02:20.58502,2025-07-24 14:34:43.990296,7c2166f9-688b-40c6-8f2f-55113a223be4
