"id","status","donor_id","receiver_id","collected_at","created_at","updated_at","has_invoice_photo"
"25a13c20-522f-4cbe-99d3-af4c3430e4c3","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-06-25T19:30:00Z","2025-06-25T22:40:38.963623Z","2025-06-25T23:02:24.069885Z","true"
"1dede58b-2795-4dd6-98c6-02e128f07df1","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-06-19T19:30:00Z","2025-06-19T20:40:41.867797Z","2025-06-19T20:57:16.66087Z","true"
"54d57a80-dd26-46f9-b4f4-69c9c00ce142","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-05-21T18:45:00Z","2025-05-21T21:36:02.44126Z","2025-05-21T21:48:43.591383Z","true"
"03c3fad5-c83a-4824-9aae-b57f3900a627","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-06-26T18:15:00Z","2025-06-26T21:48:13.763228Z","2025-06-26T22:08:24.767526Z","true"
"9a0601a9-c2ab-4ce8-ab99-2547831f27a5","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-05-31T15:00:00Z","2025-05-31T20:13:23.376825Z","2025-05-31T20:28:01.455723Z","true"
"495070f5-181a-495d-90c1-0306f0d9588c","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-07-08T19:30:00Z","2025-07-08T22:04:12.541729Z","2025-07-08T22:35:09.495838Z","true"
"8682dd10-ed2c-4ffd-bea1-ac801ac02fc3","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-06-23T18:25:00Z","2025-06-23T20:59:33.000563Z","2025-06-23T21:40:56.392806Z","true"
"fe86c162-f181-493b-ab47-87e9a9a0cb33","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-05-22T18:45:00Z","2025-05-22T21:07:24.334989Z","2025-05-22T21:19:28.243795Z","true"
"672520dd-665e-4d0b-a8ef-a5044b40623f","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-06-02T19:00:00Z","2025-06-02T22:13:43.088212Z","2025-06-02T22:33:14.707974Z","true"
"cd5668a7-fe39-4b81-99ce-bc255c0ca99f","closed","7c2166f9-688b-40c6-8f2f-55113a223be4","ec05bd3e-cff1-4df6-81e1-b2eb0d5b4f1f","2025-06-03T19:00:00Z","2025-06-03T21:41:17.388369Z","2025-06-03T22:06:00.966754Z","true"
