note,start_time,end_time,status_id,created_at,updated_at,donor_id
,2025-07-21 18:00:39.311,2025-07-21 19:00:39.311,4,2025-07-21 18:02:41.223581,2025-07-21 18:02:41.223581,4df6b828-3159-4095-801f-67ab5f896fc3
Registrada em https://infineat-production.herokuapp.com/admin/donation_packs/881a5dc5-bfb7-4e9e-9f39-27e1f4576ed5,2025-07-23 17:30:37.422,2025-07-23 18:30:37.422,4,2025-07-23 17:24:38.789601,2025-07-23 17:24:38.789601,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-07-18 17:30:39.852,2025-07-18 18:30:39.852,4,2025-07-18 15:44:41.324639,2025-07-18 15:44:41.324639,4df6b828-3159-4095-801f-67ab5f896fc3
Registrada em https://infineat-production.herokuapp.com/admin/donation_packs/695c3f04-0cde-4a8b-8d12-b83d247e9157,2025-07-16 17:45:26.515,2025-07-16 18:30:26.515,4,2025-07-16 17:47:27.910869,2025-07-16 17:47:27.910869,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-28 12:30:00,2025-05-28 15:00:00,4,2025-05-28 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
Registrada em https://infineat-production.herokuapp.com/admin/donation_packs/87161fdf-23f7-43be-b4df-ec4efd661c75,2025-07-17 17:00:06.729,2025-07-17 18:00:06.729,4,2025-07-17 14:04:08.624563,2025-07-17 14:04:08.624563,4df6b828-3159-4095-801f-67ab5f896fc3
Registrada em https://infineat-production.herokuapp.com/admin/donation_packs/12795e79-7947-4dd7-9ad1-dfcfafd557fc,2025-07-22 17:30:18.045,2025-07-22 18:30:18.045,4,2025-07-22 15:28:19.8774,2025-07-22 15:28:19.8774,4df6b828-3159-4095-801f-67ab5f896fc3
"Por alguma razão, não houve coleta no dia.",2025-07-19 17:30:48.122,2025-07-19 18:30:48.122,5,2025-07-19 16:03:49.893002,2025-07-19 16:03:49.893002,4df6b828-3159-4095-801f-67ab5f896fc3
null,2025-05-13 16:00:00,2025-05-13 17:00:00,4,2025-05-13 21:13:32.556619,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-20 15:45:00,2025-05-20 17:00:00,4,2025-05-20 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-21 14:00:00,2025-05-21 16:00:00,4,2025-05-21 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
null,2025-05-16 15:30:00,2025-05-16 17:00:00,4,2025-05-16 00:00:00,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-17 13:30:00,2025-05-17 16:30:00,4,2025-05-17 00:00:00,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-19 16:00:00,2025-05-19 18:00:00,4,2025-05-19 00:00:00,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-22 15:15:00,2025-05-22 16:30:00,4,2025-05-22 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-23 16:00:00,2025-05-23 17:00:00,4,2025-05-23 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-26 15:30:00,2025-05-26 16:45:00,4,2025-05-26 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-27 15:00:00,2025-05-27 17:00:00,4,2025-05-27 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-05-29 15:30:00,2025-05-29 17:00:00,4,2025-05-29 22:45:53.076181,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-03 18:45:12.445,2025-06-03 19:45:12.445,4,2025-06-03 18:28:14.12816,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-05 17:15:43.947,2025-06-05 19:00:43.947,4,2025-06-05 16:12:46.664489,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-06 17:00:20.592,2025-06-06 18:30:20.592,4,2025-06-06 15:32:22.415912,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-07 19:00:31.869,2025-06-07 20:30:31.869,4,2025-06-07 18:56:34.032074,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-09 16:00:18.304,2025-06-09 17:30:18.304,4,2025-06-09 15:30:20.692492,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-09 17:30:56.31,2025-06-09 18:45:56.31,4,2025-06-09 17:23:58.012573,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
se for melhor podem vir retirar amanha domingo das 08:00hs ás 12:00hs,2025-05-31 19:30:16.516,2025-05-31 21:00:16.516,4,2025-05-31 19:26:18.886785,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-07-29 17:30:40.303,2025-07-29 18:30:40.303,4,2025-07-29 17:28:42.024896,2025-07-29 17:28:42.024896,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-02 19:00:06.343,2025-06-02 20:00:06.343,4,2025-06-02 18:44:08.427233,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-11 17:30:39.407,2025-06-11 18:45:39.407,4,2025-06-11 14:21:41.233689,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-07-25 17:45:30.141,2025-07-25 18:45:30.141,4,2025-07-25 17:44:31.706104,2025-07-25 17:44:31.706104,4df6b828-3159-4095-801f-67ab5f896fc3
,2025-06-10 16:00:06.556,2025-06-10 17:45:06.556,4,2025-06-10 15:39:08.979344,2025-07-15 19:32:03.359119,4df6b828-3159-4095-801f-67ab5f896fc3
